Oberkategorie;Fragenkomplex;Hauptthema;Unterthema
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);11. Lerntechniken;Visuelles Lernen, z. B.: Lernposter mit Mindmaps, Schaubilder, Grafiken erstellen, Videos ansehen, eigene Zusammenfassungen und Lernkarteien schreiben
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);11. Lerntechniken;Auditives Lernen, z. B.: Lerngruppen bilden, Vorträge anhören, Lerninhalte aufnehmen und abspielen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);11. Lerntechniken;Kommunikatives Lernen, z. B.: Dialoge, Diskussionen, Lerngruppen, Frage-Antwort-Spiele
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);11. Lerntechniken;"Motorisches Lernen, z.B.: ""Learning by Doing"", Rollenspiele, Gruppenaktivitäten"
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Zeitmanagementtechniken, flexible Arbeitszeiten
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Moderations- und Präsentationstechniken
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Arbeitsplanung- und Projektplanungstechniken
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Verschiedene Arbeitstechniken erlernen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Gestaltung eines lernförderlichen und das Lernen integrierenden Arbeitsplatzes
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Beschaffung, Auswahl und Auswertung von Fachinformationen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Digitale Lernmedien nutzen und individuell bewerten, z. B.:
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Internet
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Apps
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Plattformen (Kommunikation, Information, Videos, Austausch)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Netzwerke
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Computer Based Training (CBT)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Web Based Training (WBT)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);12. Arbeitstechniken;Umgang mit mobilen Endgeräten
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);13. Berufliche Fortbildung und Umschulung;IT-Weiterbildung ergänzend zur Ausbildung in den IT-Berufen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);13. Berufliche Fortbildung und Umschulung;Staatliche Fördermaßnahmen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);13. Berufliche Fortbildung und Umschulung;Innerbetriebliche Fortbildung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);13. Berufliche Fortbildung und Umschulung;Umschulungen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Regelungen und Möglichkeiten für interne und externe Weiterbildung in Betrieb und Branche, evtl. tarifvertragliche Regelungen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Bildungseinrichtungen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Auslandsaufenthalte, z. B. mithilfe von EU-Förderprogrammen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Persönliche Weiterbildung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Studium von Fachliteratur
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Selbstlernmaterialien
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Fachmessen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Entwicklung bezüglich
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Eigenständigkeit
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Verantwortung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Reflexivität
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Lernkompetenz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Team- und Führungsfähigkeit
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Mitgestaltung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Kommunikation
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Überbetriebliche Fortbildung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Europass
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Mobilitätsprogramme
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Europäische Sozialcharta
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Potenzialanalyse
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Karriereplanung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Möglichkeiten und Grenzen einer Existenzgründung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;01 Berufsausbildung sowie Arbeits· und Tarifrecht (§ 4111 Nr. 1);14. Lebensplanung;Altersvorsorge
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);01. Der Betrieb;Branchenzugehörigkeit
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);01. Der Betrieb;Gesamtwirtschaft, z.B. primärer, sekundärer, tertiärer Sektor, erwerbswirtschaftliche Betriebe
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);01. Der Betrieb;Produktpalette und Märkte
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);02. Rechtsformen;Gesellschaft bürgerlichen Rechts
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);02. Rechtsformen;Personengesellschaften, z.B. Einzelunternehmen, KG, OHG, GmbH & Co. KG
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);02. Rechtsformen;Kapitalgesellschaften, z.B. GmbH, AG
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);02. Rechtsformen;Staatliche oder kommunale Unternehmen, Unternehmen des öffentlichen Rechts
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);02. Rechtsformen;Gemeinnützige Organisationen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);03. Unternehmensstruktur und Organisationsform;Unternehmenszentrale, Filialunternehmen, Niederlassungen, Außenstellen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);03. Unternehmensstruktur und Organisationsform;Einlinien- bzw. Mehrlinien-, Stabliniensystem
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);03. Unternehmensstruktur und Organisationsform;Spartenorganisation
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);03. Unternehmensstruktur und Organisationsform;Matrixorganisation
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);03. Unternehmensstruktur und Organisationsform;Arbeitsabläufe und Aufgabenteilung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);04. Wirtschaftliche Verflechtungen;Konzern
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);04. Wirtschaftliche Verflechtungen;Kartell
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);04. Wirtschaftliche Verflechtungen;Fusion
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);05. Ziele von Betrieben und Unternehmen;Produktivität
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);05. Ziele von Betrieben und Unternehmen;Wirtschaftlichkeit
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);05. Ziele von Betrieben und Unternehmen;Rentabilität
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);06. Betriebliche und gesamtwirtschaftliche Arbeitsteilung;Internationale Spezialisierung, Globalisierung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);06. Betriebliche und gesamtwirtschaftliche Arbeitsteilung;Betriebliche und gesamtwirtschaftliche Arbeitsteilung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);06. Betriebliche und gesamtwirtschaftliche Arbeitsteilung;Möglichkeiten und Grenzen der sozialen Marktwirtschaft
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);07. Ziele und Aufgaben von Arbeitgeber- und Arbeitnehmerverbänden;Branchenspezifische Gewerkschaften und Arbeitgeberverbände
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);07. Ziele und Aufgaben von Arbeitgeber- und Arbeitnehmerverbänden;Wirtschaftsorganisationen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);07. Ziele und Aufgaben von Arbeitgeber- und Arbeitnehmerverbänden;Berufsständische Vertretungen und Organisationen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);07. Ziele und Aufgaben von Arbeitgeber- und Arbeitnehmerverbänden;Ehrenamtliche Mitwirkung, z.B. Prüfungsausschuss
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);08. Ziele und Aufgaben von Behörden und Verwaltungen;Vertretung gesamtgesellschaftlicher Interessen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);09. Grundsatz der vertrauensvollen Zusammenarbeit zwischen Arbeitgeber- und Arbeitnehmervertretern;Betriebsverfassungsgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);09. Grundsatz der vertrauensvollen Zusammenarbeit zwischen Arbeitgeber- und Arbeitnehmervertretern;Arbeitnehmervertretung, Betriebsrat
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);09. Grundsatz der vertrauensvollen Zusammenarbeit zwischen Arbeitgeber- und Arbeitnehmervertretern;Jugend- und Auszubildendenvertreter und deren Informations-, Beratungs- und Mitbestimmungsrechte
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;02 Aufbau und Organisation des Ausbildungsbetriebes (§ 4111 Nr. 2);09. Grundsatz der vertrauensvollen Zusammenarbeit zwischen Arbeitgeber- und Arbeitnehmervertretern;Betriebsvereinbarungen bzw. Personalvertretung auf Grundlage des Personalvertretungsgesetzes
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Arbeitsschutzgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Arbeitssicherheitsgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Arbeitszeitgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Betriebssicherheitsverordnung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Arbeitsstättenverordnung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Unfallverhütungsvorschriften (UVV)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Berufsgenossenschaften
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Arbeitsplatzergonomie
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Bildschirmarbeitsplatzverordnung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Aufsichtsbehörde für Arbeitsschutz (Gewerbeaufsicht)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);01. Gesundheits- und Arbeitsschutzvorschriften;Jugendarbeitsschutzgesetz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);02. Gefährdungen und Beanspruchungen wahrnehmen und einschätzen;Mechanische, elektrische, thermische und chemische Gefahren
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);02. Gefährdungen und Beanspruchungen wahrnehmen und einschätzen;Ergonomische, akustische und psychische Gefahren
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);02. Gefährdungen und Beanspruchungen wahrnehmen und einschätzen;Gefahren beachten und ggf. melden
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);02. Gefährdungen und Beanspruchungen wahrnehmen und einschätzen;Sicherheitshinweise, Vorschriften und Anweisungen beachten
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);02. Gefährdungen und Beanspruchungen wahrnehmen und einschätzen;Besondere Fürsorgepflicht des Arbeitgebers
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);02. Gefährdungen und Beanspruchungen wahrnehmen und einschätzen;Ersthelfer am Arbeitsplatz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);02. Gefährdungen und Beanspruchungen wahrnehmen und einschätzen;Ergonomische Arbeitsplatzgestaltung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);03. Vorsorgeuntersuchungen;Augenuntersuchung für Bildschirmarbeitsplätze
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);03. Vorsorgeuntersuchungen;Psychische Gefährdungsbeurteilung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);04. Aufgaben der Sicherheitsbeauftragten;Aufgaben der Sicherheitsbeauftragten
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);05. Vorschriften im betrieblichen und persönlichen Arbeitsablauf;Sachgerechter Umgang mit Gefahrenpotenzialen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);05. Vorschriften im betrieblichen und persönlichen Arbeitsablauf;Allgemeine und betriebliche Verhaltensregeln
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);05. Vorschriften im betrieblichen und persönlichen Arbeitsablauf;Notausgänge (Kennzeichnung), Fluchtwege im Gebäude/am Arbeitsplatz
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);05. Vorschriften im betrieblichen und persönlichen Arbeitsablauf;Schutzarten elektrischer Betriebsmittel
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);05. Vorschriften im betrieblichen und persönlichen Arbeitsablauf;Schutzklassen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);05. Vorschriften im betrieblichen und persönlichen Arbeitsablauf;Prüfzeichen, z.B. CE-Zeichen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);05. Vorschriften im betrieblichen und persönlichen Arbeitsablauf;Schriften, Farben und Zeichen des Arbeitsschutzes
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);06. Verhaltensweisen bei Unfällen;Erste-Hilfe-Maßnahmen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);06. Verhaltensweisen bei Unfällen;Ersthelfer, Notruf- und Notfallnummern
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);06. Verhaltensweisen bei Unfällen;Meldestellen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);06. Verhaltensweisen bei Unfällen;Fluchtwege und Sammelplätze
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);06. Verhaltensweisen bei Unfällen;Evakuierung und Dokumentation
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);06. Verhaltensweisen bei Unfällen;Meldepflicht von Unfällen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);07. Verhaltensweisen im Brandfall sowie vorbeugender Brandschutz;Brandursachen durch brennbare Stoffe und Hitzeentwicklung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);07. Verhaltensweisen im Brandfall sowie vorbeugender Brandschutz;Brandschutzordnung, z.B. Verbot zur Fahrstuhlnutzung, Schließen von Türen und Fenstern
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);07. Verhaltensweisen im Brandfall sowie vorbeugender Brandschutz;Brandschutzmittel, z.B. Feuerlöscher (Arten, Standort, Bedienungsanleitung, Wirkungsweise), Löschdecken
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);07. Verhaltensweisen im Brandfall sowie vorbeugender Brandschutz;Verhalten in Brandfällen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);07. Verhaltensweisen im Brandfall sowie vorbeugender Brandschutz;Sammelplätze
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);07. Verhaltensweisen im Brandfall sowie vorbeugender Brandschutz;Flucht und Rettungswege
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);07. Verhaltensweisen im Brandfall sowie vorbeugender Brandschutz;Sicherheitszeichen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);07. Verhaltensweisen im Brandfall sowie vorbeugender Brandschutz;Brandschutzklassen (A, B, C, D)
